row_number,id,time,variable,value
17,AS14.01,2014-03-22 21:00:00.000,mood,5.0
26,AS14.01,2014-03-24 18:00:00.000,mood,5.0
42,AS14.01,2014-03-28 10:00:00.000,mood,5.0
64,AS14.01,2014-04-01 17:00:00.000,mood,5.0
65,AS14.01,2014-04-01 21:00:00.000,mood,5.0
97,AS14.01,2014-04-08 20:00:00.000,mood,5.0
130,AS14.01,2014-04-15 21:00:00.000,mood,4.0
613,AS14.05,2014-03-17 12:00:00.000,mood,4.0
634,AS14.05,2014-03-22 09:00:00.000,mood,4.0
635,AS14.05,2014-03-22 12:00:00.000,mood,3.0
636,AS14.05,2014-03-22 15:00:00.000,mood,4.0
637,AS14.05,2014-03-22 21:00:00.000,mood,4.0
638,AS14.05,2014-03-23 09:00:00.000,mood,3.0
640,AS14.05,2014-03-23 15:00:00.000,mood,4.0
641,AS14.05,2014-03-23 18:00:00.000,mood,4.0
643,AS14.05,2014-03-24 09:00:00.000,mood,3.0
644,AS14.05,2014-03-24 14:00:00.000,mood,4.0
645,AS14.05,2014-03-24 18:00:00.000,mood,4.0
646,AS14.05,2014-03-24 21:00:00.000,mood,4.0
907,AS14.06,2014-04-07 10:00:00.000,mood,5.0
908,AS14.06,2014-04-07 12:00:00.000,mood,5.0
912,AS14.06,2014-04-08 09:00:00.000,mood,5.0
913,AS14.06,2014-04-08 12:00:00.000,mood,5.0
932,AS14.06,2014-04-12 10:00:00.000,mood,10.0
939,AS14.06,2014-04-13 17:00:00.000,mood,5.0
948,AS14.06,2014-04-15 18:00:00.000,mood,5.0
952,AS14.06,2014-04-16 15:00:00.000,mood,5.0
955,AS14.06,2014-04-17 08:00:00.000,mood,5.0
961,AS14.06,2014-04-18 15:00:00.000,mood,4.0
964,AS14.06,2014-04-19 09:00:00.000,mood,5.0
976,AS14.06,2014-04-21 14:00:00.000,mood,5.0
981,AS14.06,2014-04-22 15:00:00.000,mood,5.0
