row_number,id,time,variable,value
16943,AS14.01,2014-03-21 13:00:00.000,activity,0.316666666666667
16944,AS14.01,2014-03-21 14:00:00.000,activity,0.725
16997,AS14.01,2014-03-24 13:00:00.000,activity,0.361344537815126
17019,AS14.01,2014-03-25 11:00:00.000,activity,0.594827586206897
17049,AS14.01,2014-03-26 17:00:00.000,activity,0.364406779661017
17050,AS14.01,2014-03-26 18:00:00.000,activity,0.822033898305085
17067,AS14.01,2014-03-27 11:00:00.000,activity,0.64
17091,AS14.01,2014-03-28 13:00:00.000,activity,0.38655462184874
17092,AS14.01,2014-03-28 14:00:00.000,activity,0.638655462184874
17120,AS14.01,2014-03-29 18:00:00.000,activity,0.436974789915966
17172,AS14.01,2014-04-01 08:00:00.000,activity,0.327731092436975
17175,AS14.01,2014-04-01 11:00:00.000,activity,0.785123966942149
17249,AS14.01,2014-04-04 13:00:00.000,activity,0.483050847457627
17275,AS14.01,2014-04-05 15:00:00.000,activity,0.428571428571429
17320,AS14.01,2014-04-07 12:00:00.000,activity,0.4
17366,AS14.01,2014-04-09 10:00:00.000,activity,0.342592592592593
17393,AS14.01,2014-04-10 13:00:00.000,activity,0.358333333333333
17394,AS14.01,2014-04-10 14:00:00.000,activity,0.528925619834711
17415,AS14.01,2014-04-11 11:00:00.000,activity,0.310344827586207
17422,AS14.01,2014-04-11 18:00:00.000,activity,0.482758620689655
17444,AS14.01,2014-04-12 16:00:00.000,activity,0.416666666666667
17535,AS14.01,2014-04-16 11:00:00.000,activity,0.467741935483871
17544,AS14.01,2014-04-16 20:00:00.000,activity,0.533333333333333
17566,AS14.01,2014-04-17 18:00:00.000,activity,0.34453781512605
17586,AS14.01,2014-04-18 14:00:00.000,activity,0.544715447154472
17633,AS14.01,2014-04-20 14:00:00.000,activity,0.463636363636364
17656,AS14.01,2014-04-21 13:00:00.000,activity,0.31858407079646
17657,AS14.01,2014-04-21 14:00:00.000,activity,0.5
17734,AS14.01,2014-04-24 19:00:00.000,activity,0.413223140495868
17752,AS14.01,2014-04-25 13:00:00.000,activity,0.375
17758,AS14.01,2014-04-25 19:00:00.000,activity,0.451327433628319
17774,AS14.01,2014-04-26 11:00:00.000,activity,0.458333333333333
17775,AS14.01,2014-04-26 12:00:00.000,activity,0.958333333333333
17845,AS14.01,2014-04-29 13:00:00.000,activity,0.352941176470588
17870,AS14.01,2014-04-30 14:00:00.000,activity,0.616071428571429
17915,AS14.01,2014-05-02 11:00:00.000,activity,0.305785123966942
17952,AS14.01,2014-05-04 00:00:00.000,activity,0.591666666666667
17969,AS14.01,2014-05-04 17:00:00.000,activity,0.4
710000,AS14.01,2014-03-20 22:48:30.211,appCat.builtin,37.125
831000,AS14.01,2014-03-20 23:42:09.812,appCat.builtin,90.388
1081000,AS14.01,2014-03-21 02:12:22.845,appCat.builtin,19.148
1101000,AS14.01,2014-03-21 03:12:27.453,appCat.builtin,82.33
147102,AS14.01,2014-03-21 09:50:06.913,appCat.builtin,16.087
211100,AS14.01,2014-03-21 10:31:49.009,appCat.builtin,310.916
255100,AS14.01,2014-03-21 11:05:07.394,appCat.builtin,17.06
282100,AS14.01,2014-03-21 11:19:49.684,appCat.builtin,27.124
319101,AS14.01,2014-03-21 12:52:11.469,appCat.builtin,26.266
330100,AS14.01,2014-03-21 13:01:47.421,appCat.builtin,62.244
387100,AS14.01,2014-03-21 14:26:02.391,appCat.builtin,75.364
413100,AS14.01,2014-03-21 14:46:18.049,appCat.builtin,424.064
498102,AS14.01,2014-03-21 18:00:34.121,appCat.builtin,18.186
510101,AS14.01,2014-03-21 19:11:33.460,appCat.builtin,38.944
518101,AS14.01,2014-03-21 19:29:09.119,appCat.builtin,59.453
519103,AS14.01,2014-03-21 19:30:08.579,appCat.builtin,243.412
559100,AS14.01,2014-03-21 21:32:02.930,appCat.builtin,119.538
655100,AS14.01,2014-03-22 13:59:28.183,appCat.builtin,254.692
684100,AS14.01,2014-03-22 15:42:39.609,appCat.builtin,19.135
724100,AS14.01,2014-03-22 17:56:07.296,appCat.builtin,16.858
795100,AS14.01,2014-03-23 10:04:19.042,appCat.builtin,41.153
811100,AS14.01,2014-03-23 12:15:30.832,appCat.builtin,132.889
