id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,sms,screen,mood,num_nonzero,is_fake,mood_next_day,next_date
AS14.01,2014-03-20,0.081547619047619,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.731,0.0,45.173,21.074,0.0,1.0,0.0,2275.9440002441406,,10,False,6.2,2014-03-21
AS14.01,2014-03-21,0.1340501039893886,3139.218,6280.89,1007.456,49.544,0.0,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,0.0,6.0,0.0,17978.907000064843,6.2,12,False,6.4,2014-03-22
AS14.01,2014-03-22,0.2368802192399581,731.429,4962.918,93.324,21.076,0.0,0.0,98.143,439.632,37.305,0.0,117.621,0.0,3.0,1.0,6142.160999536513,6.4,12,False,6.8,2014-03-23
AS14.01,2014-03-23,0.1427411158050636,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386,0.0,0.0,6773.832001447675,6.8,10,False,6.0,2014-03-24
AS14.01,2014-03-24,0.0789610561155979,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.626,419.805,0.0,178.732,0.0,10.0,0.0,15047.351000547404,6.0,12,False,6.75,2014-03-25
AS14.01,2014-03-25,0.0983741123905067,1032.768,10276.751,68.206,43.054,0.0,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,0.0,0.0,1.0,15381.207998991007,6.75,11,False,6.6,2014-03-26
AS14.01,2014-03-26,0.1013083216700759,1167.497,8988.753,910.479,52.331,0.0,0.0,97.498,4592.059,0.0,0.0,33.365,0.0,0.0,0.0,13585.707000494,6.6,9,False,7.0,2014-03-27
AS14.01,2014-03-27,0.1595106409690974,1229.327,6936.512,639.3389999999999,42.219,0.0,182.451,58.532,935.381,47.314,0.0,179.029,0.0,2.0,1.0,9360.814999341965,7.0,13,False,6.4,2014-03-28
AS14.01,2014-03-28,0.0956980216371201,899.91,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,5.0,0.0,4923.48899960518,6.4,12,False,8.0,2014-03-29
AS14.01,2014-03-29,0.0682028101018696,1952.63,2720.692,1627.429,0.0,0.0,0.0,169.594,472.888,52.435,0.0,600.637,0.0,4.0,1.0,8322.6219997406,8.0,11,False,7.5,2014-03-30
