row_number,id,time,variable,value
5709,AS14.01,2014-04-02 18:00:00.000,circumplex.arousal,
5731,AS14.01,2014-04-07 15:00:00.000,circumplex.arousal,
5773,AS14.01,2014-04-16 12:00:00.000,circumplex.arousal,
5797,AS14.01,2014-04-21 13:00:00.000,circumplex.arousal,
5836,AS14.01,2014-04-29 09:00:00.000,circumplex.arousal,
11300,AS14.01,2014-03-22 18:00:00.000,circumplex.valence,
11352,AS14.01,2014-04-02 18:00:00.000,circumplex.valence,
11379,AS14.01,2014-04-08 14:00:00.000,circumplex.valence,
11380,AS14.01,2014-04-08 18:00:00.000,circumplex.valence,
11382,AS14.01,2014-04-09 09:00:00.000,circumplex.valence,
11415,AS14.01,2014-04-16 08:00:00.000,circumplex.valence,
11416,AS14.01,2014-04-16 12:00:00.000,circumplex.valence,
11419,AS14.01,2014-04-16 21:00:00.000,circumplex.valence,
11479,AS14.01,2014-04-29 09:00:00.000,circumplex.valence,
11480,AS14.01,2014-04-29 12:00:00.000,circumplex.valence,
11488,AS14.01,2014-04-30 21:00:00.000,circumplex.valence,
11497,AS14.01,2014-05-02 17:00:00.000,circumplex.valence,
6325,AS14.05,2014-04-01 19:00:00.000,circumplex.arousal,
6379,AS14.05,2014-04-13 13:00:00.000,circumplex.arousal,
6434,AS14.05,2014-04-24 18:00:00.000,circumplex.arousal,
11968,AS14.05,2014-04-01 19:00:00.000,circumplex.valence,
12022,AS14.05,2014-04-13 13:00:00.000,circumplex.valence,
12067,AS14.05,2014-04-22 19:00:00.000,circumplex.valence,
12077,AS14.05,2014-04-24 18:00:00.000,circumplex.valence,
6668,AS14.06,2014-05-02 10:00:00.000,circumplex.arousal,
12311,AS14.06,2014-05-02 10:00:00.000,circumplex.valence,
12324,AS14.06,2014-05-04 22:00:00.000,circumplex.valence,
6793,AS14.07,2014-04-12 00:00:00.000,circumplex.arousal,
12436,AS14.07,2014-04-12 00:00:00.000,circumplex.valence,
7037,AS14.08,2014-04-06 12:00:00.000,circumplex.arousal,
12680,AS14.08,2014-04-06 12:00:00.000,circumplex.valence,
12774,AS14.08,2014-04-25 18:00:00.000,circumplex.valence,
