row_number,id,time,variable,value,date,daily_screen_time,app_gt_screen,difference
1011941,AS14.14,2014-04-08 23:34:57.855,appCat.builtin,33960.246,2014-04-08,452.85699939727783,True,33507.38900060272
1752397,AS14.19,2014-04-21 01:10:07.884,appCat.social,30000.906,2014-04-21,1736.3480000495902,True,28264.557999950408
166419,AS14.27,2014-04-20 23:13:11.269,appCat.builtin,31729.818,2014-04-20,5281.929001092911,True,26447.88899890709
1356866,AS14.29,2014-04-19 23:15:02.463,appCat.office,32708.818,2014-04-19,7506.035999536513,True,25202.782000463485
534116,AS14.09,2014-03-23 23:13:26.411,appCat.entertainment,32148.677,2014-03-23,7160.279999732973,True,24988.397000267025
805231,AS14.12,2014-04-19 02:10:37.487,appCat.builtin,28163.993,2014-04-19,7279.017001152038,True,20884.97599884796
250011,AS14.03,2014-04-03 02:13:51.013,appCat.builtin,19452.963,2014-04-03,2312.74599981308,True,17140.21700018692
152701,AS14.26,2014-04-16 23:48:21.302,appCat.builtin,20556.69,2014-04-16,3527.117000818257,True,17029.572999181742
2637110,AS14.03,2014-04-12 05:32:37.091,appCat.builtin,19372.478,2014-04-12,2492.8179993629456,True,16879.660000637054
1005691,AS14.14,2014-03-30 04:50:10.622,appCat.builtin,18890.03,2014-03-30,2666.268000602723,True,16223.761999397277
773471,AS14.12,2014-04-09 02:42:21.210,appCat.builtin,27160.374,2014-04-09,11045.18599843979,True,16115.18800156021
1050801,AS14.17,2014-03-21 02:55:15.913,appCat.builtin,19110.859,2014-03-21,5228.513999462123,True,13882.345000537876
184962,AS14.02,2014-03-29 04:27:20.910,appCat.builtin,16363.074,2014-03-29,4403.242997646333,True,11959.831002353669
538841,AS14.09,2014-04-08 18:22:51.526,appCat.entertainment,15859.894,2014-04-08,4055.727000236513,True,11804.166999763487
577810,AS14.01,2014-04-05 06:29:43.341,appCat.builtin,14542.772,2014-04-05,3340.4309999942784,True,11202.341000005723
